Latitude,Longitude,Temperatura,Umidade,Data,Hora
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:20:34
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:20:39
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:20:44
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:20:49
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:20:54
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:20:59
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:21:04
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:21:09
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:21:14
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:21:19
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:21:24
-3.738678,-38.569698,31.0,34.0,01/02/2021,16:21:29
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:21:34
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:21:39
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:21:44
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:21:51
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:21:54
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:21:59
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:22:04
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:22:09
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:22:14
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:22:19
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:22:24
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:22:29
-3.738678,-38.569698,31.0,35.0,01/02/2021,16:22:34
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:22:40
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:22:45
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:22:50
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:22:55
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:00
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:05
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:10
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:15
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:20
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:25
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:30
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:35
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:40
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:45
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:23:50
